,country,description,designation,points,price,province,first_region,second_region,taster_name,taster_twitter_handle,title,variety,winery,Latitude,Longitude
21254,US,"Initially a rather subdued Frog; as if it has been tamed down. Then, suddenly, There's a plush core of blackberry fruit, and the classic Cayuse funkiness is there, drenched in liquid rocks and cured meat and drying tannins. It's all in proportion and a fine reflection of the steely vintage. As it opens gracefully you discover that it is a stunningly refined Frog, quite possibly the best ever; powerful and distinctive, but also elegant, feminine.",Bionic Frog,100,80,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),Syrah,Cayuse,46.0655953,-118.3387429
19511,US,"In 2005 Charles Smith introduced three high-end Syrahs. In 2006 Smith has made a wine better than each of these, by combining them into a single wineÉ??Royal City Syrah. Rich scents of purple fruit, smoked meat, cedar, lead pencil, moist earth and so on proclaim a wine with genuine gravitas. There is nothing missing, from the first sniff to the last sip, the wine delivers on all levels. Complex, beautifully balanced, powerful and detailed.",Royal City,100,80,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith,48.9220655,-122.1390398
8007,US,"In a vintage that produced the finest overall lineup of Cayuse wines to date, it may seem a little nit-picky to score some higher and some lower. But the En Chamberlin deserves first place again. Brilliant aromatics of smoked meat, bacon fat and otherworldly roasted accents seduce instantly. Once on the palate, the silky, balanced, near-perfect mix of umami and fruit, plus licorice, cassis, coffee liqueur and black tea notes suggest it's as decadent as it is delicious.",En Chamberlin Vineyard,99,75,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,46.0655953,-118.3387429
19939,US,"This blend from individual blocks includes 94% Cabernet Sauvignon, 4% Cabernet Franc and 2% Merlot. Juicy and round, it expresses chocolate, vanilla, dark cherry and cassis flavors and is a joy to drink and experience evolve. Despite plenty of ripe power and lushness, it also boasts substantial elegance.",ERA,99,300,California,Napa Valley,Napa,Virginie Boone,@vboone,Alpha Omega 2012 ERA Red (Napa Valley),Bordeaux-style Red Blend,Alpha Omega,38.5024689,-122.2653887
19940,US,"Juicy and seductively smooth, this blockbuster beauty from the revered vineyard site is big, bold and intense, with granular tannins and a grip of integrated French oak. Its bright cassis, lavender, Tahitian vanilla and dried herb flavors are irresistible right out the gate. Ripe and rewarding, it's one to remember.",Stagecoach Vineyard,99,250,California,Atlas Peak,Napa,Virginie Boone,@vboone,Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,Alpha Omega,38.450743,-122.2627529
8097,US,"Dark and concentrated, this sends up complex aromas saturated with tar, asphalt, ink, steel, smoke and charred barbecue. It's a beautiful wine, tight and textural, in perfect balance, with superb depth, precision and elegance. The most contemplative of a superb 2011 Cayuse lineup, this wine above all needs your full attention.",En Chamberlin Vineyard,99,75,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine?ˇ,Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse,46.0655953,-118.3387429
5054,US,"The mighty Insignia shows a vibrancy of purpose and craft in this, its 40th vintage, combining 88% Cabernet Sauvignon, 5% Petit Verdot, 3% Merlot, 3% Malbec and 1% Cabernet Franc. Together they find a higher calling of perfumed violet, dark plum and berry along with graphite and an edginess of dried herb. Firm, structured tannins show tremendous potential for aging and decanting. This is a near-perfect effort from a blockbuster vintage.",Insignia 40th Vintage Estate Grown,98,250,California,Napa Valley,Napa,Virginie Boone,@vboone,Joseph Phelps 2013 Insignia 40th Vintage Estate Grown Red (Napa Valley),Bordeaux-style Red Blend,Joseph Phelps,38.5024689,-122.2653887
4634,US,"The highly sought-after, perennially beautiful and brawny Hillside Select is 100% estate grown and 100% varietal. It wows after three years in barrel, painting a lush picture of tobacco, tea and firm, integrated tannin dusted in smoky clove scents. Intensely peppery, its youthful blackberry and cherry flavors shine through but will benefit from even more time in bottle, through 2032.",Hillside Select,98,265,California,Stags Leap District,Napa,Virginie Boone,@vboone,Shafer 2012 Hillside Select Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Shafer,38.4141825,-122.3213126
7755,US,"There is something ethereal and beyond words about this wine, a full-bodied but never intrusive expression of spicy cinnamon, black pepper and wild pine that makes it a puzzle worth trying to solve. Fruit plays a part, though softly, eking out shadows of raspberry and just-picked strawberry atop smooth, silky tannins and a measured, seductive body. The finish recalls a clove cigarette enjoyed in the rain.",Coastlands Vineyard,98,75,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Williams Selyem 2013 Coastlands Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem,38.4052701,-123.096764
21148,US,"Pretty as all get-out, this wine is a floral masterpieceÉ??a study in coastal rose and forest scents with a counterpunch of white pepper that leaves one wanting more. Juicy raspberry, strawberry and tangerine flavors are seasoned in allspice and tobacco, the palate so beautifully delicate yet fully realized in savory complexity and length.",Coastlands Vineyard,98,75,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Williams Selyem 2014 Coastlands Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Williams Selyem,38.4052701,-123.096764
9581,US,"This is yet another stunning wine from this site, guided by the capable hands of Winemaker and Viticulturalist Bibiana Gonz?≠lez Rave, who has coaxed from it beguiling layers of complex concentration and sublime notions of tang and salt. The only white from a sea of Pinot Noir grown here, it speaks to what the extreme Sonoma Coast can bring to the varietyÉ??a celebration of lemon zest, crisp apple and brioche delicately wrapped in minerality.",Wayfarer Vineyard,98,80,California,Fort Ross-Seaview,Sonoma,Virginie Boone,@vboone,Wayfarer 2014 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Wayfarer,38.5142596,-123.2435574
296,US,"A stunning PirouetteÉ??63% Cabernet Sauvignon, 22% Merlot, 9% Cab Franc and 6% Petit Verdot. Full and magnificently rich, it is loaded with dense and thrilling fruit flavors of black cherry and cassis. A streak of iron and a hint of citrus keep the wine evolving through a long, beautifully balanced finish. Retasted after being open for 24 hours, the wine was as fresh and thrilling as on the first day.",Red Wine,98,50,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine?ˇ,Pirouette 2008 Red Wine Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Pirouette,48.9220655,-122.1390398
